"price","type","year","transmission","model","odometer","fuel","manufacturer","condition","state","lat","long","country"
5500,"limousine",2000,"manual","3er",93205.65,"petrol","bmw","good","Nordrhein-Westfalen",51.2,6.6833,"DE"
3200,"sedan",2006,NA,"a3",93205.65,"diesel","audi","good","Nordrhein-Westfalen",51.25,6.3833,"DE"
2950,"wagon",2004,"manual","polo",55923.39,"petrol","volkswagen",NA,"Nordrhein-Westfalen",51.0795,6.3153,"DE"
6600,"limousine",2006,"manual","golf",93205.65,"diesel","volkswagen","good","Nordrhein-Westfalen",51.0795,6.3153,"DE"
2990,"bus",2004,"manual","scenic",93205.65,"petrol","renault","good","Nordrhein-Westfalen",51.0555,6.2266,"DE"
6799,"limousine",2002,"automatic","5er",93205.65,"lpg","bmw","good","Nordrhein-Westfalen",51.0555,6.2266,"DE"
1699,"wagon",2003,"manual","jazz",93205.65,"petrol","honda","good","Nordrhein-Westfalen",51.2649,7.1307,"DE"
5600,"bus",2008,"automatic","golf",93205.65,"diesel","volkswagen","good","Nordrhein-Westfalen",51.2878,7.194,"DE"
14700,"limousine",2012,"automatic","golf",37282.26,"petrol","volkswagen","bad","Nordrhein-Westfalen",51.2699,7.1838,"DE"
8250,"wagon",2012,"manual","panda",49709.68,"petrol","fiat","good","Nordrhein-Westfalen",51.3515,7.1302,"DE"
300,"wagon",1998,"manual","twingo",77671.375,NA,"renault",NA,"Nordrhein-Westfalen",51.3266,6.9711,"DE"
4850,"bus",2009,"manual","berlingo",49709.68,"diesel","citroen","good","Nordrhein-Westfalen",51.1728,7.094,"DE"
16500,"coupe",1983,"manual","6er",93205.65,"petrol","bmw","good","Nordrhein-Westfalen",51.1825,7.0454,"DE"
2499,"limousine",2003,"manual","civic",93205.65,"petrol","honda",NA,"Nordrhein-Westfalen",51.1802,7.1872,"DE"
1950,NA,2016,"manual","2_reihe",93205.65,"petrol","peugeot","good","Nordrhein-Westfalen",51.5044,7.4998,"DE"
245,"limousine",1994,NA,"golf",93205.65,"petrol","volkswagen","good","Nordrhein-Westfalen",51.529,7.4802,"DE"
1490,"wagon",2007,"manual","cuore",93205.65,"petrol","daihatsu","good","Nordrhein-Westfalen",51.529,7.4802,"DE"
10550,"limousine",2012,"automatic","golf",37282.26,"petrol","volkswagen","good","Nordrhein-Westfalen",51.5251,7.5475,"DE"
2750,"convertible",2001,"manual","astra",93205.65,"petrol","opel",NA,"Nordrhein-Westfalen",51.5724,7.3892,"DE"
1100,"wagon",2002,"manual","twingo",93205.65,"petrol","renault","good","Nordrhein-Westfalen",51.5426,7.219,"DE"
6450,"bus",2008,"manual","transporter",93205.65,NA,"volkswagen","good","Nordrhein-Westfalen",51.5426,7.219,"DE"
3400,NA,2018,NA,"astra",93205.65,"petrol","opel","good","Nordrhein-Westfalen",51.4661,7.2491,"DE"
1500,"limousine",1998,"automatic","vectra",93205.65,"petrol","opel","good","Nordrhein-Westfalen",51.4997,7.1944,"DE"
0,NA,2006,NA,"andere",3106.855,NA,"fiat",NA,"Nordrhein-Westfalen",51.4645,7.1418,"DE"
