region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,vin,drive,size,type,paint_color,county,state,lat,long
"quad cities, IA/IL",6500,2007.0,ford,f-150,good,,gas,,clean,automatic,,,,,,,il,41.4304,-91.0509
"quad cities, IA/IL",1800,1986.0,lincoln,mark vii,,,gas,,clean,automatic,,,,coupe,,,il,41.5509,-90.4942
south jersey,7400,2013.0,nissan,maxima,,6 cylinders,gas,121744.0,clean,automatic,1N4AA5AP9DC820128,fwd,,sedan,grey,,nj,40.4082,-74.3729
denver,4300,2002.0,subaru,outback,like new,4 cylinders,gas,145000.0,clean,manual,,4wd,,,white,,co,39.6971,-104.882
denver,6500,2001.0,toyota,tundra,good,8 cylinders,gas,202000.0,clean,automatic,,4wd,,,blue,,co,39.7665,-105.02
south jersey,3900,2007.0,mercury,mountaineer,,6 cylinders,gas,171114.0,clean,automatic,4M2EU47E67UJ22183,4wd,,SUV,white,,nj,40.4082,-74.3729
south jersey,5400,2010.0,subaru,outback,,4 cylinders,gas,164362.0,clean,automatic,4S4BRBGC7A3343894,4wd,,wagon,black,,nj,40.4082,-74.3729
"quad cities, IA/IL",5250,2007.0,toyota,rav4,good,6 cylinders,gas,154000.0,clean,automatic,,fwd,,SUV,black,,il,41.5748,-90.531
south jersey,6900,2014.0,volkswagen,passat,,4 cylinders,gas,108116.0,clean,automatic,1VWAT7A38EC030055,fwd,,sedan,silver,,nj,40.4082,-74.3729
denver,2000,1998.0,,Lexis 300 EF,good,6 cylinders,gas,,clean,automatic,,fwd,mid-size,sedan,brown,,co,39.7473,-104.978
south jersey,13000,2011.0,jeep,wrangler,,6 cylinders,gas,81327.0,clean,automatic,1J4BA6D1XBL517250,4wd,,SUV,black,,nj,40.4082,-74.3729
richmond,8500,2011.0,jaguar,xf premium,good,8 cylinders,gas,95350.0,clean,automatic,,rwd,mid-size,sedan,silver,,va,37.5133,-77.5646
richmond,7500,2004.0,chevrolet,silverado,like new,8 cylinders,gas,180000.0,clean,automatic,,4wd,full-size,truck,red,,va,37.7202,-77.0998
south jersey,7500,2008.0,,INIFINTI M35X,excellent,6 cylinders,gas,91384.0,clean,automatic,JNKAY01F98M652733,4wd,,,blue,,nj,39.6491,-75.5155
south jersey,975,2002.0,ford,ranger pickup,good,6 cylinders,gas,175376.0,clean,automatic,,rwd,,pickup,black,,nj,39.9999,-74.2228
south jersey,999,2012.0,jeep,wrangler unlimited sahara,excellent,6 cylinders,gas,121028.0,clean,other,1C4HJWEG0CL122983,4wd,,SUV,,,nj,40.2331,-74.7642
"quad cities, IA/IL",2800,1991.0,,1991,fair,4 cylinders,gas,42000.0,rebuilt,automatic,,,,convertible,white,,il,41.4885,-90.321
south jersey,2950,2012.0,chevrolet,sonic lt,,4 cylinders,gas,,clean,automatic,,,,,,,nj,40.0086,-74.7896
denver,15500,2008.0,toyota,tundra sr5 4x4,good,8 cylinders,gas,130885.0,clean,automatic,,4wd,full-size,truck,blue,,co,39.759,-104.96600000000001
denver,2450,2007.0,ford,,,,gas,,clean,automatic,,,,,,,co,38.6996,-104.70100000000001
south jersey,0,2005.0,jeep,grand cherokee,,,other,,clean,automatic,,,,,silver,,nj,39.8857,-75.3082
south jersey,0,2007.0,gmc,savana,,,other,,clean,automatic,,,,,white,,nj,39.8857,-75.3082
south jersey,3500,2006.0,honda,odyssey ex-l,excellent,6 cylinders,gas,,clean,automatic,,,full-size,van,grey,,nj,39.5553,-75.0276
